iso_3,bounds_tiles,bounds_map,center,basezoom,maxzoom
afg,"60.472000,29.377100,74.889600,38.490700","60.222,29.1271,75.1396,38.7407","69.609375,34.883907",6,8
bdi,"29.000300,-4.470000,30.850900,-2.309100","28.7503,-4.72,31.1009,-2.0591","29.882813,-3.162396",8,9
bfa,"-5.513500,9.411400,2.400600,15.082900","-5.7635,9.1614,2.6506,15.3329","-0.703125,11.866483",6,8
caf,"14.420100,2.223400,27.463400,11.007600","14.1656,1.9703,27.7055,11.2575","17.578125,6.314827",6,8
civ,"-8.584100,4.360600,-2.492300,10.745700","-8.8341,4.1106,-2.2423,10.9957","-7.734375,7.710418",6,8
cmr,"8.499000,1.654700,16.192100,13.083300","8.249,1.4047,16.4421,13.3333","10.195312,5.265909",6,9
cod,"12.205700,-13.456000,31.377400,5.386100","11.9456,-13.7056,31.5618,5.6423","29.179688,-1.757504",5,9
col,"-81.738900,-4.372500,-66.837700,13.397500","-79.2581,-4.4778,-66.5877,12.7084","-74.179688,4.565388",7,9
eri,"36.434000,12.354300,43.152100,18.004800"," 36.184,12.1043,43.4021,18.2548","39.023438,14.944516",7,9
eth,"32.991800,3.406700,47.988200,14.845500","32.7499,3.1541,48.2361,15.1441","38.671875,9.101423",5,8
hti,"-74.480400,18.022100,-71.622200,20.089200","-74.7304,17.7721,-71.3722,20.3392","-72.070313,19.642246",7,9
irq,"38.794800,29.069500,48.623800,37.377300"," 38.5448,28.8195,48.8738,37.6273","44.296875,36.029280",6,8
lbn,"35.102600,33.055000,36.621800,34.692200","34.8526,32.805,36.8718,34.9422","35.507813,33.430945",8,9
lby,"9.390000,19.508000,25.150600,33.165200","9.14,19.258,25.4006,33.4152","13.359375,32.544857",5,8
mli,"-12.239200,10.141400,4.244700,24.999500","-12.4892,9.8914,4.4947,25.2495","-4.921875,14.603795",5,8
mmr,"92.172700,9.671300,101.169900,28.545500","92.172700,9.671300,101.169900,28.545500","93.867187,19.642246",7,9
moz,"30.211700,-26.867000,40.840400,-10.473700","29.9617,-27.117,41.0904,-10.2237","36.914063,-17.643710",5,9
ner,"0.166300,11.697000,15.995600,23.533200","-0.0837,11.447,16.2456,23.7832","0.703125,14.603795",5,8
nga,"2.668500,4.273000,14.678800,13.894400","9.4081,7.12866,14.92881,13.96405","12.656250,9.792785",6,7
pak,"60.878600,23.694700,75.381900,36.908600","60.6286,23.4447,75.6319,37.1586","72.421875,33.722348",6,8
phl,"114.277900,4.587400,126.605000,21.121900","114.277900,4.587400,126.605000,21.121900","126.035156,9.968805",7,10
pse,"34.218800,31.224400,35.573200,32.552400","33.9688,30.9744,35.8232,32.8024","35.507813,32.249488",8,9
sdn,"21.813200,8.642300,38.590900,23.142900","21.5645,8.3875,38.83,22.475","32.695313,18.978694",5,9
som,"40.994300,-1.664900,51.413000,11.985200","40.7443,-1.9149,51.663,12.2352","45.351563,2.460135",5,9
ssd,"24.150700,3.487500,35.947700,12.237700","23.9007,3.23747,36.1977,12.48767","31.289063,6.664483",5,9
syr,"35.613900,32.316400,42.385000,37.319100","35.3639,32.0664,42.635,37.5691","35.859375,34.883907",6,8
tcd,"13.473500,7.441100,24.000000,23.439400","13.2235,7.1911,24.25,23.6894","14.765625,13.238984",5,8
tur,"25.668500,35.808400,44.817900,42.104800","25.4185,35.5584,45.0679,42.3548","29.179688,41.244238",6,9
ukr,"22.103500,44.386400,40.220800,52.379300","21.8869,44.1364,40.4708,52.6293","30.585938,50.512897",7,9
ven,"-73.379500,0.634600,-59.741100,12.195100","-73.6295,0.3846,-59.4911,12.4451","-69.609375,9.101423",7,8
yem,"41.814800,12.106600,54.538200,19.000000","41.5648,11.8566,54.7882,19.25","43.945313,14.264126",8,9
