adm0_src,adm0_name,adm0_name1,adm0_point,adm1_line,adm1_point,adm2_line,adm2_point,adm3_line,adm3_point,adm4_line,adm4_point
ABW,Aruba (Neth.),Aruba,4,,,,,,,,
AFG,Afghanistan,Afghanistan,2,4,5,7,8,,,,
AGO,Angola,Angola,2,4,5,6,7,8,9,,
AIA,Anguilla (UK),Anguilla,5,,,,,,,,
ALA,Åland Islands (Fin.),Åland Islands,6,4,8,,,,,,
ALB,Albania,Albania,4,4,6,7,8,9,10,,
AND,Andorra,Andorra,4,4,9,,,,,,
ARE,United Arab Emirates,United Arab Emirates,3,4,8,9,10,,,,
ARG,Argentina,Argentina,2,3,4,6,7,,,,
ARM,Armenia,Armenia,4,4,6,,,,,,
ASM,American Samoa (USA),American Samoa,4,4,8,9,10,,,,
ATA,Antarctica,Antarctica,2,,,,,,,,
ATF_1,Kerguelen Islands (Fr.),French Southern Territories,4,,,,,,,,
ATF_2,Crozet Archipelago (Fr.),French Southern Territories,5,,,,,,,,
ATF_3,Saint Paul and Amsterdam Islands (Fr.),French Southern Territories,5,,,,,,,,
ATF_4,Bassas da India (Fr.),French Southern Territories,9,,,,,,,,
ATF_5,Europa Island (Fr.),French Southern Territories,9,,,,,,,,
ATF_6,Glorioso Islands (Fr.),French Southern Territories,9,,,,,,,,
ATF_7,Juan de Nova Island (Fr.),French Southern Territories,9,,,,,,,,
ATF_8,Tromelin Island (Fr.),French Southern Territories,9,,,,,,,,
ATG,Antigua and Barbuda,Antigua and Barbuda,4,4,9,,,,,,
AUS_1,Australia,Australia,2,3,4,5,6,,,,
AUS_2,Ashmore & Cartier Islands (Aust.),Australia,9,,,,,,,,
AUS_3,Coral Sea Islands (Aust.),Australia,9,,,,,,,,
AUT,Austria,Austria,2,4,6,7,8,9,10,,
AZE,Azerbaijan,Azerbaijan,3,4,7,,,,,,
BDI,Burundi,Burundi,3,4,7,8,9,,,,
BEL,Belgium,Belgium,3,4,5,6,7,8,9,10,11
BEN,Benin,Benin,3,4,6,7,8,,,,
BES_1,Bonaire (Neth.),"Bonaire, Sint Eustatius and Saba",6,4,8,,,,,,
BES_2,Sint Eustatius (Neth.),"Bonaire, Sint Eustatius and Saba",6,4,8,,,,,,
BES_3,Saba (Neth.),"Bonaire, Sint Eustatius and Saba",6,4,8,,,,,,
BFA,Burkina Faso,Burkina Faso,2,4,6,7,8,9,10,,
BGD,Bangladesh,Bangladesh,3,4,6,7,8,9,10,,
BGR,Bulgaria,Bulgaria,3,4,6,7,8,,,,
BHR,Bahrain,Bahrain,4,4,8,,,,,,
BHS,Bahamas,Bahamas,4,4,7,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,4,4,5,6,7,8,9,,
BLM,Saint Barthélemy (Fr.),Saint Barthélemy,9,,,,,,,,
BLR,Belarus,Belarus,2,4,6,7,8,,,,
BLZ,Belize,Belize,4,4,6,,,,,,
BMU,Bermuda (UK),Bermuda,4,4,9,10,11,,,,
BOL,Bolivia (Plurinational State of),Bolivia (Plurinational State of),2,4,5,6,7,8,9,,
BRA,Brazil,Brazil,2,3,4,6,8,,,,
